1,Carl Yastrzemski*\yastrca01,27,BOS,161,680,69,3,3,23,-8,90,10.2,22,112,12.4,.565,.565,9.9,1.7,89,$50000,Amateur Free Agent,*7/8
2,Al Kaline\kalinal01,32,DET,131,550,43,5,-2,10,-5,51,5.7,18,68,7.5,.545,.537,6.6,0.3,59,$54000,Amateur Free Agent--bonus baby,*9/8
3,Brooks Robinson\robinbr01,30,BAL,158,681,13,2,-2,32,3,48,5.5,21,69,7.7,.537,.536,4.0,4.2,37,$75000,Amateur Free Agent,*5
4,Paul Blair\blairpa01,23,BAL,151,619,21,-0,-0,22,-1,42,4.7,20,62,6.8,.533,.531,4.3,2.4,39,,1st Yr Draft,*8
5,Harmon Killebrew\killeha01,31,MIN,163,689,55,-1,-2,-4,-9,38,4.2,22,60,6.4,.527,.527,7.3,-1.8,65,$60000,Amateur Free Agent--bonus baby,*3/5
6,Bill Freehan\freehbi01,25,DET,155,618,31,-1,1,-2,8,36,4.0,20,57,6.1,.528,.526,6.5,0.6,58,,Amateur Free Agent,*23
7,Frank Robinson\robinfr02,31,BAL,129,563,50,0,-1,-10,-6,33,3.6,17,51,5.4,.530,.524,6.8,-2.0,61,$100000,Traded,*97/3
8,Jim Fregosi\fregoji01,25,CAL,151,651,19,-0,0,2,9,30,3.3,20,51,5.4,.524,.522,5.4,1.2,49,$40000,Expansion Draft,*6
9,Dick McAuliffe*\mcauldi01,27,DET,153,675,16,4,3,-2,7,28,2.9,21,48,5.1,.521,.520,5.6,0.4,50,,Amateur Free Agent,*46
10,Tommie Agee\ageeto01,24,CHW,158,584,4,5,-2,18,-2,24,2.7,19,43,4.6,.518,.518,2.6,1.8,25,$16500,Traded,*87/9
11,Ken McMullen\mcmulke01,25,WSA,146,619,3,1,-1,17,3,23,2.5,20,43,4.6,.519,.517,2.8,2.3,26,,Traded,*5
12,Don Mincher*\minchdo01,29,CAL,147,563,31,-1,1,0,-8,24,2.5,18,42,4.4,.519,.517,4.6,-1.1,42,$22500,Traded,*3/9
13,Tony Conigliaro\conigto01,22,BOS,95,389,20,-0,1,5,-4,22,2.4,13,34,3.7,.527,.516,3.3,-0.0,30,,Amateur Free Agent,9
14,George Scott\scottge02,23,BOS,159,641,25,-1,-0,6,-9,21,2.2,21,42,4.4,.516,.516,3.9,-0.5,36,$16000,Amateur Free Agent,*3/5
15,Rico Petrocelli\petrori01,24,BOS,142,556,7,-3,0,8,8,21,2.2,18,39,4.1,.517,.515,3.4,1.8,31,,Amateur Free Agent,*6
16,Tony Oliva*\olivato01,28,MIN,146,615,20,1,0,5,-6,20,2.1,20,40,4.1,.516,.515,3.7,-0.3,34,$40000,Amateur Free Agent,*9
17,Frank Howard\howarfr01,30,WSA,149,585,35,-0,-1,-7,-7,20,2.1,19,39,4.1,.516,.515,5.1,-1.8,46,$36000,Traded,*7/39
18,Norm Cash*\cashno01,32,DET,152,577,16,-0,1,10,-8,19,2.1,19,38,4.0,.515,.514,3.1,0.1,29,$43000,Traded,*3
19,Mickey Mantle#\mantlmi01,35,NYY,144,553,30,-0,0,-4,-7,19,2.0,18,37,3.9,.516,.514,4.6,-1.5,41,$100000,Amateur Free Agent,*3
20,Willie Horton\hortowi01,24,DET,122,445,18,2,-2,5,-5,18,2.0,14,33,3.5,.518,.514,3.1,-0.1,28,,Amateur Free Agent,*7/9
21,Horace Clarke#\clarkho01,27,NYY,143,633,-3,7,1,8,4,16,1.6,19,36,3.6,.513,.512,3.0,1.2,28,,Amateur Free Agent,*4
22,Curt Blefary*\blefacu01,23,BAL,155,645,15,-0,2,6,-8,14,1.4,21,35,3.6,.511,.510,3.0,-0.4,29,,Waivers--first year,739
23,Ramon Webster*\webstra02,24,KCA,122,395,11,-0,-1,9,-6,13,1.3,13,26,2.7,.512,.509,1.7,0.3,16,,Amateur Free Agent,37/9
24,Reggie Smith#\smithre06,22,BOS,158,629,-2,5,1,10,-1,13,1.3,20,34,3.4,.510,.510,2.5,0.9,24,$9500,1st Yr Draft,*8/4
25,Rick Monday*\mondari01,21,KCA,124,459,8,-1,1,4,-1,11,1.1,15,26,2.7,.511,.508,2.3,0.3,22,,Amateur Draft,*8/7
26,Joe Azcue\azcuejo01,27,CLE,86,324,5,-1,-0,1,5,10,1.0,11,20,2.1,.514,.507,2.1,0.6,19,,Traded,2
27,Tommy McCraw*\mccrato01,26,CHW,125,491,-1,1,2,15,-7,9,0.9,16,25,2.6,.509,.507,0.9,0.8,10,,Amateur Free Agent,*3/879
28,Dick Tracewski\tracedi01,32,DET,74,118,2,0,0,3,2,8,0.9,4,12,1.3,.513,.506,0.9,0.6,8,,Traded,645
29,Earl Wilson\wilsoea01,32,DET,52,121,-5,-0,0,0,13,8,0.9,0,8,0.9,.518,.506,0.9,-0.1,8,$34000,Traded,1
30,Bob Allison\allisbo01,32,MIN,153,576,25,-1,0,-8,-7,10,0.9,19,28,2.8,.507,.507,4.0,-2.0,36,$35000,Amateur Free Agent,*79
31,Rod Carew*\carewro01,21,MIN,137,561,8,-1,-0,-1,4,9,0.9,18,28,2.8,.508,.507,3.1,0.1,29,$8500,Amateur Free Agent,*4
32,Don Buford#\bufordo01,30,CHW,156,609,-4,-0,1,8,4,9,0.9,20,29,2.9,.507,.507,2.2,1.3,21,$20000,Amateur Free Agent,*54/7
33,Dave Boswell\bosweda01,22,MIN,44,79,-1,0,-0,0,9,7,0.8,0,7,0.8,.520,.505,0.9,-0.1,7,$19000,Amateur Free Agent,1
34,Jim Northrup*\northji01,27,DET,144,542,4,4,-0,7,-6,9,0.8,18,26,2.7,.507,.507,2.0,0.0,19,$18000,Amateur Free Agent,*879
35,Gary Peters*\peterga01,30,CHW,48,107,-5,-0,-0,0,12,7,0.7,0,7,0.7,.516,.505,0.8,-0.1,7,$30000,Amateur Free Agent,1
36,Ken Suarez\suareke01,24,KCA,39,82,3,-1,-0,3,1,6,0.7,3,9,1.0,.520,.505,0.7,0.5,6,$8500,Amateur Free Agent,2
37,Luis Tiant\tiantlu01,26,CLE,33,77,-2,0,-0,0,8,6,0.7,0,6,0.7,.523,.505,0.8,-0.0,6,,Purchased,1
