1,Rico Petrocelli\petrori01,26,BOS,154,643,49,-1,0,16,9,73,7.8,22,95,10.0,.552,.549,8.4,2.7,79,,Amateur Free Agent,*6/5
2,Reggie Jackson*\jacksre01,23,OAK,152,678,64,-1,1,8,-7,66,7.0,22,88,9.2,.547,.544,8.5,0.1,80,$20000,Amateur Draft,*98
3,Sal Bando\bandosa01,25,OAK,162,734,50,-0,0,2,3,56,5.9,24,79,8.3,.537,.537,8.2,0.6,77,$18000,Amateur Draft,*5
4,Frank Robinson\robinfr02,33,BAL,148,643,46,5,-0,7,-7,50,5.3,21,72,7.5,.537,.534,6.9,-0.1,65,,Traded,*93/7
5,Paul Blair\blairpa01,25,BAL,150,685,16,5,-0,26,-1,45,4.9,22,67,7.1,.533,.531,4.3,2.7,41,$20000,1st Yr Draft,*8
6,Harmon Killebrew\killeha01,33,MIN,162,709,58,-2,-2,-14,-3,36,3.8,24,60,6.2,.524,.524,7.9,-2.0,75,$80000,Amateur Free Agent--bonus baby,53
7,Frank Howard\howarfr01,32,WSA,161,702,64,-1,-3,-18,-10,32,3.3,23,56,5.7,.521,.521,7.8,-3.2,74,$97500,Traded,*73/9
8,Ken McMullen\mcmulke01,27,WSA,158,642,14,1,1,16,3,34,3.6,22,56,5.9,.524,.523,4.3,2.0,40,,Traded,*5
9,Boog Powell*\powelbo01,27,BAL,152,615,38,-1,-2,8,-8,35,3.7,21,56,5.9,.525,.524,5.1,-0.1,48,,Amateur Free Agent,*3
10,Rod Carew*\carewro01,23,MIN,123,504,25,1,1,6,3,36,3.8,17,53,5.6,.532,.524,5.1,0.9,47,$21000,Amateur Free Agent,*4
11,Carl Yastrzemski*\yastrca01,29,BOS,162,707,25,1,-1,13,-9,29,3.1,24,53,5.5,.520,.520,4.2,0.3,40,$115000,Amateur Free Agent,*73/8
12,Leo Cardenas\cardele01,30,MIN,160,665,4,-3,-2,17,10,26,2.8,23,49,5.1,.518,.518,3.3,2.9,32,$36500,Traded,*6
13,Tony Oliva*\olivato01,30,MIN,153,692,22,-2,2,11,-7,27,2.8,22,49,5.1,.519,.518,4.0,0.4,38,$55000,Amateur Free Agent,*9
14,Ed Brinkman\brinked01,27,WSA,151,639,-6,3,-1,21,9,26,2.7,22,48,5.0,.519,.518,2.7,3.3,26,,Amateur Free Agent,*6
15,Jim Fregosi\fregoji01,27,CAL,161,685,12,3,1,-1,9,24,2.5,23,48,4.9,.517,.517,5.1,0.9,48,$60000,Expansion Draft,*6
16,Jim Northrup*\northji01,29,DET,148,602,24,1,0,7,-4,28,2.9,21,48,5.0,.521,.519,4.4,0.2,42,,Amateur Free Agent,*897
17,Reggie Smith#\smithre06,24,BOS,143,607,26,-3,-0,4,-1,26,2.7,21,47,4.8,.520,.518,4.6,0.2,43,$30000,1st Yr Draft,*8/7
18,Luis Aparicio\aparilu01,35,CHW,156,681,-3,6,1,10,9,23,2.4,23,46,4.7,.516,.516,3.8,2.0,36,$38000,Traded,*6
19,Don Buford#\bufordo01,32,BAL,144,663,22,-2,1,10,-6,26,2.7,21,46,4.8,.520,.518,3.8,0.4,36,,Traded,*74/5
20,Cesar Tovar\tovarce01,28,MIN,158,591,8,5,2,10,-1,24,2.6,20,44,4.6,.517,.517,3.7,0.9,35,$30000,Traded,*8475/9
21,Dick Green\greendi01,28,OAK,136,554,14,-2,-2,10,4,24,2.6,19,43,4.5,.520,.517,3.5,1.5,33,,Amateur Free Agent,*4
22,Mark Belanger\belanma01,25,BAL,150,594,-3,3,-0,12,9,20,2.2,20,41,4.2,.515,.514,3.0,2.2,29,,Amateur Free Agent,*6
23,Mike Epstein*\epstemi01,26,WSA,131,500,39,-3,0,-6,-6,24,2.5,17,41,4.2,.520,.516,5.1,-1.5,47,,Traded,*3
24,Roy White#\whitero01,25,NYY,130,542,20,-2,1,10,-6,22,2.4,19,41,4.2,.519,.515,3.2,0.3,31,,Amateur Free Agent,*7
25,Brooks Robinson\robinbr01,32,BAL,156,670,-8,1,-2,23,3,17,1.8,23,40,4.1,.513,.512,1.6,2.9,17,,Amateur Free Agent,*5
26,Horace Clarke#\clarkho01,29,NYY,156,700,3,1,0,7,4,16,1.6,23,39,3.9,.512,.511,3.3,1.2,32,$37000,Amateur Free Agent,*4
27,Mike Andrews\andremi01,25,BOS,121,554,20,1,0,-5,3,20,2.0,18,37,3.8,.518,.513,4.5,-0.3,42,,Amateur Free Agent,*4
28,Rick Monday*\mondari01,23,OAK,122,481,22,1,1,-4,-1,20,2.1,16,37,3.8,.518,.514,4.3,-0.5,40,$25000,Amateur Draft,*8
29,Bert Campaneris\campabe01,27,OAK,135,592,-13,10,1,10,8,16,1.7,20,36,3.7,.513,.511,2.6,1.9,25,,Amateur Free Agent,*6
30,Del Unser*\unserde01,24,WSA,153,649,12,-1,2,2,-1,14,1.4,22,36,3.7,.510,.510,3.6,0.0,34,,Amateur Draft,*8
31,Norm Cash*\cashno01,34,DET,142,556,19,1,0,1,-7,15,1.5,19,34,3.4,.512,.510,3.5,-0.8,33,$56000,Traded,*3
